x_coordinate,y_coordinate,CellType,PredictedLabel1,PredictedLabel2
34.63492063,38.74206349,Keratin+ neoplastic cells,5,1
31.0,68.96202532,Neoplastic cells,5,1
41.42857143,103.99,Keratin+ neoplastic cells,5,1
33.16847826,181.7826087,Neoplastic cells,5,1
42.71349096,199.18080668,Neoplastic cells,5,1
36.63422819,239.36577181,CD8+ T,5,1
35.88135593,256.74576271,CD8+ T,5,1
35.25621415,395.79732314,CD8+ T,5,1
36.52233677,431.11340206,CD8+ T,5,1
35.8525641,462.08547009,Macrophages,5,1
40.44038929,500.69708029,Macrophages,5,1
38.66145833,564.50520833,Macrophages,5,1
35.60771704,628.92282958,Macrophages,5,1
40.82900137,680.0369357,Regulatory T,5,1
36.42481203,728.41353383,CD4+ T,5,1
36.33401639,821.64344262,Keratin+ neoplastic cells,12,1
38.55072464,860.63146998,Neoplastic cells,12,1
31.13043478,917.84782609,Keratin+ neoplastic cells,12,1
46.3125,943.68125,Keratin+ neoplastic cells,12,1
33.58091286,990.80082988,Keratin+ neoplastic cells,12,1
35.7,1013.7375,Neoplastic cells,12,1
39.47112462,1034.29787234,Keratin+ neoplastic cells,12,1
31.1125,1047.25,Keratin+ neoplastic cells,12,1
40.0708402,1064.52718287,Keratin+ neoplastic cells,12,1
36.03240741,1139.30092593,Neoplastic cells,12,1
41.79674797,1159.86178862,Regulatory T,12,1
41.61348315,1176.94606742,Keratin+ neoplastic cells,12,1
32.60846561,1208.04761905,Neoplastic cells,12,1
39.76507937,1230.53650794,Neoplastic cells,11,1
35.32307692,1242.73076923,Unknown subpopulation,11,1
35.04562738,1258.18631179,Keratin+ neoplastic cells,11,1
34.83333333,1290.79166667,Keratin+ neoplastic cells,11,1
35.02694611,1313.4491018,Neoplastic cells,11,1
34.77358491,1351.24528302,Neoplastic cells,15,2
37.44845361,1372.38659794,Neoplastic cells,15,2
31.06666667,1389.28888889,Other immune cells,15,2
34.79452055,1438.84018265,Neoplastic cells,6,2
40.91640379,1471.57255521,Other immune cells,6,2
32.08791209,1517.81318681,CD4+ T,6,2
34.5785124,1572.44903581,Other immune cells,15,2
33.12,1619.60571429,CD8+ T,8,2
32.75524476,1637.9020979,CD4+ T,1,2
38.402746,1655.69107551,CD3+ T,8,2
39.03351955,1685.42271881,Other immune cells,8,2
43.12475634,1707.39961014,CD3+ T,8,2
40.7512275,1729.92635025,CD3+ T,8,2
36.85789474,1749.29473684,Dendritic cells and monocytes mixed subpopulation,8,2
36.22981366,1765.79813665,CD3+ T,8,2
36.90421456,1785.01532567,CD3+ T,8,2
36.47924528,1804.4490566,CD3+ T,8,2
32.98026316,1820.25,CD4+ T,8,2
36.93851133,1841.15857605,B cells,8,2
31.7826087,1870.91304348,CD4+ T,8,2
40.66865079,1885.06944444,CD3+ T,8,2
32.88929889,1915.4095941,CD4+ T,8,2
31.74015748,1950.70866142,CD3+ T,8,2
32.93251534,1975.10429448,CD3+ T,8,2
40.11498973,1993.15400411,CD4+ T,8,2
45.95890411,1277.52641879,Macrophages,11,1
44.1026694,1858.93429158,CD3+ T,8,2
37.11206897,2009.65517241,CD4+ T,8,2
49.52334152,777.68673219,Macrophages,12,1
49.8270202,1400.0479798,Other immune cells,15,2
44.88333333,1494.17380952,Macrophages,15,2
49.98533007,1609.90953545,CD4+ T,8,2
47.63701923,66.65865385,Neoplastic cells,5,1
39.10344828,593.86206897,Macrophages,5,1
48.91205212,588.29315961,Macrophages,5,1
44.70923913,840.20923913,Keratin+ neoplastic cells,12,1
50.41255007,1109.62616822,Neoplastic cells,12,1
44.75588235,1422.41470588,CD4+ T,15,2
44.13944223,882.32270916,Keratin+ neoplastic cells,12,1
49.78303748,1215.00788955,Keratin+ neoplastic cells,5,1
48.47468354,1914.69936709,CD4+ T,8,2
60.45038705,146.69669247,Neoplastic cells,5,1
48.10755814,1823.37790698,B cells,8,2
43.14507772,366.15544041,Macrophages,5,1
51.12141653,445.62057336,Other immune cells,5,1
44.36153846,1328.26923077,Neoplastic cells,11,1
48.1921875,1518.9,Other immune cells,6,2
52.58111702,1967.05585106,CD3+ T,8,2
43.91304348,1633.13664596,CD3+ T,8,2
51.75965665,2013.74678112,B cells,8,2
51.30632911,712.53924051,CD8+ T,5,1
47.71523179,996.07615894,Neoplastic cells,12,1
58.21112696,1192.36233951,Keratin+ neoplastic cells,12,1
64.09468439,916.29734219,Keratin+ neoplastic cells,12,1
49.57826087,1346.77391304,Keratin+ neoplastic cells,15,2
56.93436293,692.46718147,Regulatory T,5,1
56.69152047,1449.94444444,CD8+ T,15,2
51.09977324,1568.15419501,CD4+ T,15,2
53.40566038,1794.60377358,CD4+ T,8,2
